Item,Qty,Link
"10k Ohm rheostat potentiometer for breadboard",1,https://www.amazon.fr/s?k=10k+Ohm+rheostat+potentiometer+for+breabdoard&crid=1PPJ2J4HJLH7&sprefix=10k+ohm+rheostat+potentiometer+for+breabdoard%2Caps%2C79&ref=nb_sb_noss
3V light emitting diode,2,https://www.amazon.fr/s?k=3V+light+emitting+diode&crid=1HPDOL0OAH6W7&sprefix=3v+light+emitting+diode%2Caps%2C83&ref=nb_sb_noss
Breadboard micro button switch,2,https://www.amazon.fr/s?k=Breadboard+micro+button+switch&crid=U6BODVKCI426&sprefix=breadboard+micro+button+switch%2Caps%2C81&ref=nb_sb_noss
Momentary push button,2,https://www.amazon.fr/s?k=momentary+push+button&crid=PJ7ECPV98ZHM&sprefix=momentary+push+button%2Caps%2C90&ref=nb_sb_noss_1
"12V 2A power supply (ideally a variable one)",1,https://www.amazon.fr/s?k=12v+2a+power+supply&crid=23X2JYX62POY1&sprefix=12v+2a+power+supply%2Caps%2C88&ref=nb_sb_noss_1
"Jumper wire kit (various length and type, refer to the photos)",1,https://www.amazon.fr/s?k=jumper+cable+kit&crid=3G4UDW7Y8JX0E&sprefix=jumper+cable+kit%2Caps%2C95&ref=nb_sb_noss
"Flat ribbon cable 16 pin minimum (2m)",1,https://www.amazon.fr/s?k=flat+ribbon+cable&crid=2GUWZZC9F3PBL&sprefix=flat+ribbon+cable%2Caps%2C110&ref=nb_sb_noss_2
16 pin IDC connector,1,https://www.amazon.fr/s?k=16+PIN+idc+conector&crid=1I814J83Y9ZOD&sprefix=16+pin+idc+conector%2Caps%2C75&ref=nb_sb_noss
Male Female Spade Wire Connectors Crimp Terminal,2,https://www.amazon.fr/s?k=Male+Female+Spade+Wire+Connectors+Crimp+Terminal&crid=2MBIYFF9ZLWXD&sprefix=male+female+spade+wire+connectors+crimp+terminal%2Caps%2C74&ref=nb_sb_noss
"16 pin cable 4m",1,https://www.amazon.fr/s?k=16+pin+cable&crid=3D0H41J9MDIQT&sprefix=16+pin+cable%2Caps%2C168&ref=nb_sb_noss_2
"2 pin cable 2m",1,https://www.amazon.fr/s?k=2+pin+cable&crid=2AYZRYW3WJPZB&sprefix=16+pin+cable%2Caps%2C136&ref=nb_sb_noss_2
IC cable male/female 4 pins,5,https://www.amazon.fr/s?k=IC+cable+male%2Ffemale+4pins&crid=1W8BUN554NXT8&sprefix=ic+cable+male%2Ffemale+4pins%2Caps%2C92&ref=nb_sb_noss
IC cable male/female 5 pins,2,https://www.amazon.fr/s?k=IC+cable+male%2Ffemale+5pins&crid=U04DCR0W4YI5&sprefix=ic+cable+male%2Ffemale+5pins%2Caps%2C69&ref=nb_sb_noss
IC cable male/female 2 pins,2,https://www.amazon.fr/s?k=IC+cable+male%2Ffemale+2pins&crid=1N1K4Y589EFXL&sprefix=ic+cable+male%2Ffemale+2pins%2Caps%2C69&ref=nb_sb_noss
Heat shrink set,1,https://www.amazon.fr/s?k=Heat+shrink+set&crid=3GLQAXMVA19R&sprefix=heat+shrink+set%2Caps%2C85&ref=nb_sb_noss
